card,reports,age,income,share,expenditure,owner,selfemp,dependents,months,majorcards,active
yes,0,37.66667,,0.03326991,124.9833,yes,no,3,54,1,12
yes,0,33.25,2.42,0.005216942,9.854167,no,no,3,34,1,13
yes,0,33.66667,,0.0041555559999999,15.0,yes,no,4,58,1,5
yes,0,,2.54,,137.8692,no,no,0,25,1,7
yes,0,32.16667,9.7867,0.06705059,546.5033,yes,no,2,64,1,5
yes,0,23.25,2.5,0.0444384,91.99667,no,no,0,54,1,1
yes,0,27.91667,3.96,0.01257576,40.83333,no,no,2,7,1,5
yes,0,29.16667,2.37,,150.79,yes,no,0,77,1,3
yes,0,37.0,,0.2456279,777.8217,yes,no,0,97,1,6
yes,0,,,0.01978,52.58,no,no,0,65,1,18
yes,0,30.5,3.95,0.07802456,256.6642,yes,no,1,24,1,20
no,0,42.0,1.98,,0.0,yes,no,2,36,1,0
no,0,30.0,,,0.0,yes,no,1,42,0,12
yes,0,,2.45,,78.87416999999999,yes,no,0,26,1,3
yes,0,35.33333,1.908,0.02690671,42.615,yes,no,2,120,0,5
yes,0,41.16667,3.2,,335.435,yes,no,1,168,1,22
yes,0,40.08333,,0.07481575,248.7192,yes,no,2,96,1,0
no,7,29.5,,0.0004,0.0,yes,no,2,60,1,8
yes,0,,9.9999,0.06579486,548.035,yes,yes,0,28,1,0
no,3,45.75,3.4,0.0003529412,0.0,no,no,0,28,1,10
yes,0,,2.35,0.02238596,43.33917,yes,no,2,115,1,1
no,1,25.16667,1.875,0.00064,0.0,no,no,2,7,0,2
yes,0,34.25,,0.1311119999999999,218.52,yes,no,0,12,1,0
yes,1,35.75,4.0,,170.6408,no,no,2,18,1,22
yes,0,,5.14,,37.58333,yes,no,2,13,1,17
yes,0,,4.506,0.1337421,502.2017,no,no,2,38,1,7
no,0,21.66667,3.84,0.0003125,0.0,no,yes,1,12,0,1
yes,0,22.25,1.5,0.058608,73.17667,no,no,0,64,1,6
no,0,34.25,2.5,,0.0,yes,no,1,12,1,0
yes,0,,5.5,0.3344595999999999,1532.773,yes,no,4,74,1,19
yes,0,21.83333,2.0272,0.02532014,42.69083,no,no,0,9,0,5
yes,1,29.41667,3.2,0.1567194,417.835,no,no,0,14,1,6
no,1,,,,0.0,yes,no,1,40,1,5
yes,0,,2.4663,,552.7242,yes,no,1,12,1,10
yes,0,23.83333,3.0,,222.5392,no,no,0,12,1,5
yes,0,,3.5412,,541.2958,yes,no,6,108,1,15
no,0,42.58333,2.2845,0.000525279,0.0,no,no,2,46,1,0
yes,0,,5.7,,568.7742,yes,no,1,36,1,16
yes,0,,3.5,,344.4708,no,no,0,2,1,14
yes,0,27.75,,0.1057438999999999,405.3517,yes,no,4,28,1,13
yes,0,26.25,,,310.9375,yes,no,0,7,1,10
yes,0,23.33333,,,53.645,no,no,0,8,1,1
yes,0,,1.51,0.05125828,63.91667,no,no,1,7,0,1
yes,0,30.0,1.85,0.1075816,165.855,no,no,0,60,1,12
yes,0,,2.6,0.004807692,9.583333,no,no,0,12,1,1
no,0,28.16667,,,0.0,no,yes,2,26,1,2
yes,0,35.58333,2.0,0.192044,319.49,no,no,0,156,1,4
no,0,37.75,3.2628,0.0003677823,0.0,no,no,1,98,0,1
yes,0,26.08333,2.35,0.04285106,83.08334,no,no,1,30,0,2
yes,0,27.75,,0.1105849,644.8283,yes,no,0,0,1,13
no,0,49.75,,,0.0,no,no,2,12,0,0
yes,0,,,,93.1975,no,no,0,18,1,12
yes,0,20.66667,1.7,0.07420824,105.045,no,no,0,6,1,4
yes,0,23.75,,0.014875,34.125,no,no,2,48,1,8
yes,0,,2.4,0.02071958,41.18917,no,no,0,34,1,2
yes,1,32.91667,3.0,0.068022,169.8883,no,no,0,216,0,5
yes,0,34.33333,,0.4745082999999999,1898.033,no,no,3,12,1,1
yes,0,33.25,3.18,,810.3917,no,no,4,18,0,3
no,0,44.66667,,,0.0,no,no,2,33,0,0
yes,0,21.16667,1.5,,32.775,no,no,0,20,1,4
yes,2,25.08333,,,95.79916,no,no,0,8,0,4
yes,0,27.16667,,0.01492807,27.78,no,no,3,36,1,5
yes,0,,2.8,0.0921725,215.0692,no,no,1,12,1,16
yes,0,22.0,2.7,0.03544926,79.51083,no,no,0,3,1,0
no,3,27.33333,4.9,0.000244898,0.0,yes,no,2,16,1,15
no,0,26.16667,2.5,0.0004799999999999,0.0,no,yes,0,18,0,0
yes,0,40.75,6.0,0.06123966,306.0317,no,yes,2,182,1,16
yes,0,42.08333,3.9,0.03221615,104.5358,no,no,0,78,1,2
no,0,21.66667,5.1,0.0002352941,0.0,no,no,0,25,1,0
yes,0,24.66667,3.074,0.2508032,642.4742,no,no,0,4,1,0
yes,0,30.75,2.4585,0.1503596,308.0492,yes,no,2,53,1,16
yes,0,,2.0,,186.3533,no,no,0,9,1,5
yes,0,33.0,3.248,,56.14917,no,no,2,144,0,2
yes,0,37.33333,,0.05719193,129.3733,no,no,2,13,1,14
yes,0,26.58333,2.2,,93.10667,no,no,0,144,1,10
no,1,,4.1,0.0002926829,0.0,no,no,1,5,0,4
yes,0,24.25,,0.09367893,292.6633,no,no,0,18,1,11
yes,0,25.25,,0.04106146,98.46416,no,no,0,7,1,0
yes,0,0.5,3.05,0.1017243,258.5492,no,no,1,94,1,5
yes,0,,,0.04792941,101.6833,no,no,2,6,1,18
no,0,,,,0.0,no,no,2,25,1,0
yes,1,54.58333,,0.02984697,65.24667,yes,no,1,78,1,19
yes,0,19.58333,1.65,0.07904787,108.6075,no,no,0,37,1,8
yes,0,29.33333,2.4,0.02494458,49.55583,no,no,0,30,1,4
no,3,40.16667,3.7099,,0.0,no,no,2,15,1,11
yes,0,40.75,,,235.5717,yes,no,2,177,1,13
no,0,41.25,4.386,,0.0,yes,no,3,172,1,9
no,0,,,0.0003636364,0.0,yes,no,2,33,0,18
no,0,23.66667,2.3040000000000003,0.0005208334,0.0,no,no,1,12,1,0
no,1,53.66667,4.18,0.0002870813,0.0,no,no,1,288,1,2
no,2,,,0.0004824120999999,0.0,no,no,1,87,1,3
no,0,44.91667,,,0.0,yes,no,5,4,1,0
yes,0,43.41667,,0.03435875,68.38417,no,no,0,12,1,0
no,4,35.16667,,,0.0,no,no,1,7,1,9
no,2,,,0.0001428570999999,0.0,no,no,2,69,1,12
yes,0,,,,0.0,no,no,0,12,1,2
yes,1,32.66667,,0.09483,474.15,yes,no,0,48,1,6
yes,1,25.41667,3.6,,234.0483,no,no,2,12,1,4
yes,0,26.25,5.0,0.1082892,451.205,yes,no,0,5,1,16
yes,0,46.0,5.5,0.05487727,251.5208,yes,no,2,161,1,7
yes,1,,9.9999,0.1101058999999999,917.54,yes,no,0,72,1,29
no,0,35.0,,0.0002637363,0.0,yes,no,3,36,1,15
no,0,,,0.0004137930999999,0.0,no,no,0,36,1,3
yes,0,,,0.09848222,147.7233,no,no,0,1,0,9
yes,0,31.25,4.2,,166.7267,yes,no,0,53,1,0
yes,0,,3.92,0.2269911,741.5042,no,no,0,16,1,0
yes,0,,,,106.1692,no,no,1,51,0,6
yes,0,24.83333,,0.1313552,271.4675,no,no,0,18,1,0
yes,0,,,,635.0508,yes,no,3,120,1,17
yes,0,43.66667,,0.02186308,182.825,yes,no,1,12,1,18
yes,0,23.08333,,0.03642203,89.37083,yes,no,0,12,1,17
yes,0,41.91667,,0.24272,1011.333,no,no,1,36,1,5
yes,0,,2.4,0.1137675,227.3683,no,no,0,1,1,29
yes,0,45.58333,13.5,0.01031111,115.4167,yes,no,2,126,1,9
no,3,,4.0,,0.0,no,no,0,36,0,5
yes,1,,3.9,,297.9717,no,no,0,51,1,4
yes,1,37.66667,,0.0608075,101.2625,yes,no,3,42,1,3
yes,0,30.25,,,56.69416999999999,no,no,0,12,1,4
yes,0,,3.0,0.030976,77.35667,no,no,2,18,0,2
yes,0,,4.3,0.03419023,122.515,no,no,0,108,1,4
no,4,,,0.0001200012,0.0,no,no,2,27,1,5
yes,0,,,,13.4025,no,no,0,32,1,3
yes,0,,3.0,,127.5342,no,no,0,120,1,11
yes,0,40.83333,2.6,,8.333333,yes,no,0,52,1,3
yes,1,18.66667,1.66,0.0568759,78.42834,yes,no,0,51,1,2
yes,0,34.33333,,0.0032,11.16667,yes,yes,4,30,1,6
yes,0,25.08333,,0.0316508,131.8783,no,no,0,38,1,16
yes,0,20.08333,1.74,,277.9892,no,no,0,8,1,11
yes,0,24.75,1.875,0.08070774,126.0225,no,no,1,14,0,1
yes,0,,,0.095609,238.8558,yes,no,3,120,0,0
no,5,,4.2,0.0002857143,0.0,no,no,3,52,0,19
no,0,53.33333,,,0.0,yes,yes,0,108,0,1
yes,0,,2.13,,37.08333,no,no,1,13,1,4
no,1,25.41667,1.7,0.0007058823,0.0,no,no,2,8,0,11
yes,0,,,0.1119048,156.5833,no,no,0,18,0,2
no,0,20.58333,2.64,0.0004545455,0.0,no,no,3,7,1,1
yes,0,18.41667,1.968,,9.753333,no,no,0,114,0,2
yes,0,,,0.03947758,108.3967,no,no,0,6,1,8
yes,0,,1.5896,0.2052491,271.5533,no,no,0,180,1,16
yes,0,42.0,3.6,,53.30167,no,yes,0,41,0,14
yes,0,36.41667,3.0,0.1130587,282.5633,no,no,2,16,1,6
yes,0,41.5,3.8,0.08315605,263.3275,no,no,0,67,1,4
yes,0,26.5,,0.002625298,6.5175,no,no,0,12,1,4
no,2,33.16667,2.3204,0.0005171522,0.0,no,no,0,62,0,3
yes,0,43.08333,,0.006685513,43.03917,yes,no,0,60,0,2
yes,0,30.33333,,0.0356228,73.7975,yes,yes,3,30,1,9
yes,0,,,0.0128,15.416670000000002,no,no,1,12,1,7
yes,0,35.66667,,0.1049978,313.3525,yes,no,1,84,1,10
yes,1,,4.0,0.01795825,59.19416999999999,yes,no,0,36,1,13
yes,3,43.25,,,175.9975,yes,no,3,30,1,27
yes,2,50.0,4.3,0.03620279,129.3933,yes,yes,1,264,1,15
yes,0,,,0.01055514,30.36917,yes,no,1,36,1,5
no,1,43.25,3.95,0.0003037975,0.0,yes,no,2,27,1,4
no,5,27.16667,,0.0003,0.0,yes,no,0,37,1,7
yes,0,,2.4,0.23063,461.26,no,no,1,164,0,1
yes,0,49.66667,2.7,0.08877037,199.7333,yes,no,0,120,0,3
yes,0,28.33333,6.6,,38.71416,no,no,2,55,1,7
yes,0,26.5,,0.04111704,92.26334,no,no,0,18,1,0
yes,0,29.41667,4.1,0.04264756,145.3792,no,no,0,13,1,0
yes,0,71.83334,7.701,,400.9117,yes,no,1,24,1,9
yes,0,24.5,2.8,0.05955571,138.7133,no,no,0,5,1,0
yes,0,25.08333,,0.04245641,110.3033,no,no,2,3,1,6
yes,0,24.91667,2.3,,54.64666999999999,no,no,0,30,1,2
yes,0,,,0.001798365,4.5833330000000005,yes,no,0,57,1,3
no,0,32.58333,6.5,0.0001846154,0.0,yes,no,0,50,1,6
yes,0,23.08333,2.56,,320.5167,no,no,1,11,1,2
yes,0,48.91667,3.5,,197.9233,yes,no,0,48,1,9
yes,0,25.33333,3.24,0.02563117,68.87083,no,no,0,30,1,19
yes,0,,3.48,0.05121034,148.26,yes,no,0,14,1,5
yes,0,24.91667,,0.02812798,68.53333,no,no,0,14,1,0
no,1,,2.475,0.0004848484999999,0.0,no,no,1,12,0,5
no,5,28.58333,3.12,0.0003846154,0.0,no,no,0,13,0,7
no,0,32.33333,2.5,0.0004799999999999,0.0,no,no,1,60,1,0
yes,0,,,0.04865566,121.5558,yes,no,0,12,1,4
yes,0,34.33333,6.0,0.017262,86.22667,yes,no,1,48,1,5
yes,0,28.41667,,0.04854384,105.095,yes,no,0,27,1,6
yes,0,,,,58.99083,no,no,1,14,1,7
no,1,30.83333,2.5,0.0004799999999999,0.0,no,no,0,18,1,6
no,1,34.66667,3.3,0.0003636364,0.0,no,no,3,48,0,3
yes,0,,5.905,,123.8917,no,no,1,12,1,2
yes,1,36.16667,,0.01210897,78.54166,yes,no,1,24,1,18
no,3,32.41667,,,0.0,no,no,0,48,1,8
yes,0,31.25,5.6965,0.008123409,38.0625,yes,yes,2,84,0,26
yes,0,,2.16,0.02572685,46.14167,no,no,2,7,1,0
no,3,,4.6,0.0002608696,0.0,no,no,0,57,1,3
yes,0,21.75,3.5,0.090862,265.0142,no,no,2,42,1,9
yes,0,,,0.03532235,74.72667,yes,no,1,11,1,0
yes,0,43.5,1.7472,0.07401385,107.7642,yes,no,0,18,0,2
yes,0,,1.95,0.004564103,6.5,yes,no,2,96,1,2
yes,0,,5.0,0.0501734,209.0558,yes,no,3,10,1,10
yes,0,,,0.08017754,193.0675,no,no,0,12,0,0
yes,0,,2.7,0.06417074,144.3842,yes,no,1,17,1,8
yes,0,,4.0,0.1076916999999999,358.9725,no,no,0,7,1,10
yes,0,,,0.0309899999999999,59.1475,no,no,0,12,1,0
yes,0,,2.4,0.0005,0.0,no,no,1,11,1,8
no,0,,,0.0004615385,0.0,no,no,0,61,1,8
yes,0,,2.4,,465.195,yes,no,1,168,1,4
yes,0,36.25,,0.06781389,142.2425,no,no,2,53,0,3
yes,0,,1.56,0.3860019,501.8025,no,no,0,33,0,1
yes,0,,2.4,,88.5925,no,yes,0,14,1,6
yes,0,26.08333,2.0,0.1700255,282.8758,no,no,0,2,1,2
yes,1,,2.58,,361.1617,no,no,0,6,1,12
yes,0,,3.15,,150.1767,no,yes,0,128,0,3
yes,0,29.33333,2.3,0.04004043,76.24416,no,no,2,24,0,5
yes,0,47.58333,,0.01516022,58.245830000000005,no,no,2,25,1,11
yes,0,21.58333,,0.03396795,88.23333000000001,no,no,0,56,1,3
yes,0,30.41667,2.0,0.0048,7.0833330000000005,yes,no,3,45,1,14
no,6,,,,0.0,no,no,2,20,0,13
yes,1,,2.46,,289.0442,no,no,1,4,1,11
yes,0,30.66667,,0.03251895,102.9767,no,no,0,26,0,1
yes,0,,2.6372,0.006635826,13.916670000000002,yes,no,0,4,1,12
yes,1,39.75,,0.1099579999999999,641.4216,yes,no,2,30,0,22
no,0,,2.8,0.0004285714,0.0,no,no,1,156,0,11
no,0,22.83333,3.1475,0.000381255,0.0,no,no,2,19,0,0
no,1,,6.0,0.0002,0.0,no,no,2,17,1,2
yes,0,25.16667,3.25,0.0312399999999999,84.275,no,no,0,6,1,17
yes,0,61.08333,4.32,0.03697246,132.8508,yes,no,1,252,0,0
yes,0,,2.5,,159.595,no,no,0,7,1,21
yes,0,35.33333,3.0,,135.045,no,no,1,6,1,8
yes,0,26.08333,3.5,0.08595,250.5208,no,no,0,52,1,2
yes,0,42.75,4.56,,188.6208,no,no,0,144,1,11
yes,0,27.58333,2.76,0.01036232,23.25,no,no,0,30,1,1
yes,0,22.5,,0.1013325,214.065,yes,no,2,23,1,9
no,7,40.91667,,0.0003705076,0.0,no,no,0,50,1,16
no,2,,,0.0003125,0.0,no,no,0,38,0,2
yes,0,32.83333,,0.03875531,42.63083,no,no,1,6,1,2
no,0,,3.9,0.0003076923,0.0,no,no,0,18,1,3
no,0,56.91667,2.04,0.0005882353,0.0,yes,no,0,35,1,11
yes,1,30.16667,,0.07818501,474.5,yes,no,4,43,1,14
yes,0,,7.5,,304.3817,yes,no,0,300,1,8
yes,0,34.58333,,,78.75083000000001,no,no,1,31,1,6
yes,0,24.66667,1.632,0.1754246,238.3275,no,no,1,4,1,5
yes,0,40.75,,,311.1425,yes,no,2,38,1,0
yes,0,,2.2,0.04216182,77.04666999999999,yes,no,2,17,1,16
yes,0,27.83333,5.0,,120.4033,yes,no,1,24,1,0
yes,0,30.83333,3.0,,156.5725,yes,no,2,72,1,8
yes,0,46.25,,,10.58333,yes,no,0,76,1,1
yes,0,20.5,1.54,0.08959676,114.8158,no,no,0,6,1,2
no,0,28.0,,0.0008,0.0,no,no,1,5,0,0
yes,0,,3.0,0.07210633,179.7658,yes,no,0,121,1,0
yes,1,,5.0,,625.3675,yes,no,3,84,1,7
yes,0,51.75,,0.02165545,84.9025,yes,no,1,60,0,0
yes,0,53.5,1.5,0.0008,0.0,yes,no,0,57,0,6
yes,0,26.08333,,0.03560869,67.66666,no,no,0,24,1,0
yes,0,,,0.08383188,111.6925,no,no,0,3,1,0
yes,0,27.75,2.2,0.1403463999999999,257.3017,no,no,0,3,0,1
yes,0,23.25,4.32,,675.7708,no,no,2,36,1,11
no,0,23.08333,,0.0004615385,0.0,no,yes,0,37,1,7
yes,0,,1.6752,0.1757384,245.3308,no,no,0,10,1,0
yes,0,,,0.005848564,13.333329999999998,yes,yes,0,38,0,11
yes,0,24.5,,,149.545,no,yes,0,21,1,2
yes,0,33.75,2.9,0.104841,253.3658,yes,no,2,14,1,20
yes,0,,2.65,0.009650944,20.47917,no,no,0,12,1,9
yes,0,,,,41.81667,no,no,0,18,1,9
yes,0,65.91666,,,118.7133,yes,no,1,230,1,19
yes,0,21.58333,3.12,0.08677917,225.4592,no,no,1,10,0,6
yes,0,35.0,4.1125,0.02962699,101.2008,yes,no,1,37,1,23
no,1,46.0,,0.0002,0.0,yes,no,2,84,1,46
yes,0,25.33333,,,10.42,no,no,0,24,1,19
no,2,35.91667,3.38,0.0003550295999999,0.0,yes,no,2,18,1,15
yes,0,33.66667,3.5,0.002742857,7.166667,no,no,0,12,1,0
yes,0,30.08333,,,12.08333,yes,no,4,51,1,16
no,11,26.41667,3.5,,0.0,no,no,0,14,0,27
yes,1,24.58333,,0.06297679,146.8625,no,no,0,14,1,11
yes,0,,,0.06604102,324.6183,yes,no,3,28,1,11
yes,0,46.25,,,268.7242,yes,no,4,204,1,7
yes,0,29.5,2.8,0.1067854,249.1658,no,no,0,50,1,3
yes,0,43.83333,,,50.08333,yes,no,3,179,1,6
yes,0,,3.4,0.03101882,87.63667,no,no,0,42,1,4
yes,0,,,,203.3667,no,no,0,5,1,0
yes,0,,2.5,0.05074,105.125,yes,no,0,24,1,13
yes,1,23.66667,1.95,0.03098154,50.17833,no,no,0,3,1,4
yes,0,25.66667,2.1,0.18692,327.11,no,no,0,15,1,6
no,0,,,0.0004,0.0,yes,no,1,28,1,6
yes,1,,,0.06567625,175.1367,yes,no,2,25,1,8
no,4,,2.6,0.0004615385,0.0,no,no,0,40,1,14
yes,0,,3.067,0.1596997,408.0825,no,no,2,18,0,0
yes,0,,,0.0146375,33.57083,no,no,0,60,1,11
yes,0,,4.8,0.1011433,404.49,yes,no,0,30,1,13
no,0,41.16667,4.74,0.0002531646,0.0,yes,no,0,13,1,0
yes,0,,,,80.45084,yes,no,0,80,1,14
yes,0,,4.2,0.0026190479999999,8.333333,yes,no,4,59,1,13
yes,0,,4.0,0.07213325,240.2775,no,no,2,180,1,9
no,4,25.83333,,,0.0,no,no,0,36,1,5
yes,0,34.16667,4.3,0.0249386,88.94667,no,no,1,12,1,2
yes,0,63.5,,0.0001859543,0.0,yes,no,0,42,1,13
yes,1,,,,11.00417,no,no,1,18,0,7
yes,0,21.25,1.75,0.1932389,281.8067,no,no,0,6,0,3
no,0,22.33333,1.8,,0.0,no,no,0,3,0,6
yes,0,22.91667,,0.009956279,17.171670000000002,no,no,0,12,1,1
no,0,23.83333,7.88,,0.0,no,yes,4,6,1,9
no,2,26.83333,2.6,0.0004615385,0.0,no,no,0,12,1,9
yes,0,35.83333,,,119.625,yes,no,0,56,1,10
yes,0,41.08333,,,86.54666999999999,yes,no,0,48,0,6
yes,0,40.75,3.64,0.03113791,94.11833,no,no,1,41,1,1
yes,1,,9.9999,,832.2433,yes,no,3,120,1,3
no,0,20.75,,0.0006153846,0.0,no,no,0,14,0,1
yes,2,34.83333,,0.1407467999999999,762.3784,yes,no,0,12,1,13
yes,0,32.16667,3.805,,26.0,yes,no,0,51,1,7
yes,0,40.75,,,227.6017,no,no,1,67,0,16
yes,2,38.58333,,,379.8658,no,no,0,120,1,8
yes,0,,3.1,0.2400212999999999,620.055,no,no,0,3,1,0
no,0,31.0,4.0104,0.000299222,0.0,no,no,0,42,1,0
yes,0,29.08333,4.58,,48.615,no,no,0,50,1,7
yes,0,33.75,1.8,0.1306339,195.4508,yes,no,3,12,1,2
no,4,,1.7095,,0.0,no,no,2,42,1,2
yes,0,21.91667,2.2593,0.06498916,122.1917,yes,no,0,6,1,0
yes,0,,,0.1319654,384.8992,no,no,2,12,1,0
yes,0,40.33333,,,129.3333,yes,no,4,72,1,21
yes,0,23.75,1.5678,,0.0,yes,no,1,6,1,0
yes,0,37.58333,2.9623,0.002227999,4.5833330000000005,yes,yes,1,93,1,13
yes,1,27.75,2.7,0.09362111,210.6475,no,no,0,9,1,13
yes,0,21.66667,,,198.5483,yes,no,0,18,1,7
yes,0,26.16667,4.0,0.0012,3.166667,no,no,2,18,0,0
no,5,31.75,4.5,0.0002666667,0.0,yes,no,0,36,1,11
no,0,,1.8,,0.0,yes,no,2,11,1,13
yes,0,27.33333,2.75,,153.7267,no,no,0,6,1,3
yes,0,39.75,2.42,,34.15583,yes,no,1,49,1,25
no,0,,,0.0005333333,0.0,no,no,3,12,1,0
no,0,,,0.001,0.0,no,no,0,15,0,0
no,2,28.16667,2.6,0.0004615385,0.0,yes,no,2,31,1,3
no,0,26.33333,1.5,0.0008,0.0,no,no,0,8,1,0
yes,0,25.33333,2.1,0.1966747999999999,344.1808,yes,no,1,22,1,19
yes,0,0.1666667,,0.1843663999999999,497.7058,yes,no,3,25,1,16
